"","year","id","dist","passen","fare","bmktshr","ldist","y98","y99","y00","lfare","ldistsq","concen","lpassen"
"1",2000,1,528,298,123,0.861200034618378,6.26909637451172,0,0,1,4.81218433380127,39.301570892334,0.861200034618378,5.69709348678589
"2",2000,2,861,190,129,0.538600027561188,6.7580943107605,0,0,1,4.85981225967407,45.6718368530273,0.538600027561188,5.24702405929565
"3",2000,3,852,244,247,0.709699988365173,6.74758672714233,0,0,1,5.50938844680786,45.5299263000488,0.709699988365173,5.49716806411743
"4",2000,4,724,339,176,0.3716000020504,6.58479118347168,0,0,1,5.17048406600952,43.3594741821289,0.3716000020504,5.82600021362305
"5",2000,5,1073,710,109,0.519699990749359,6.97821378707886,0,0,1,4.6913480758667,48.6954689025879,0.519699990749359,6.56526517868042
"6",2000,6,318,163,171,0.969300031661987,5.76205158233643,0,0,1,5.14166355133057,33.2012367248535,0.969300031661987,5.09375
"7",2000,7,1270,197,220,0.62310004234314,7.14677238464355,0,0,1,5.39362764358521,51.0763549804688,0.62310004234314,5.28320360183716
"8",2000,8,614,192,161,0.641999959945679,6.41999483108521,0,0,1,5.08140420913696,41.2163352966309,0.641999959945679,5.25749540328979
"9",2000,9,1673,310,152,0.284700006246567,7.42237377166748,0,0,1,5.02388048171997,55.0916328430176,0.284700006246567,5.736572265625
"10",2000,10,1976,187,214,0.30009999871254,7.58882999420166,0,0,1,5.36597585678101,57.5903396606445,0.30009999871254,5.23110866546631
"11",2000,11,1118,383,188,0.48470002412796,7.01929664611816,0,0,1,5.23644208908081,49.2705268859863,0.48470002412796,5.94803476333618
"12",2000,12,580,954,117,0.688300013542175,6.36302804946899,0,0,1,4.76217412948608,40.4881248474121,0.688300013542175,6.86066389083862
"13",2000,13,349,319,198,0.719199955463409,5.85507202148438,0,0,1,5.28826713562012,34.281867980957,0.719199955463409,5.76519107818604
"14",2000,14,223,241,75,0.846500039100647,5.40717172622681,0,0,1,4.31748819351196,29.2375068664551,0.846500039100647,5.48479700088501
"15",2000,15,745,443,151,0.493100017309189,6.61338424682617,0,0,1,5.01727962493896,43.7368507385254,0.493100017309189,6.0935697555542
